Subject,Start date,Start time,Description
CA318 AI Search,22/09/2020,10:00 AM,Practical
CA357 UI,22/09/2020,2:00 PM,Lecture
CA318 AI Search,22/09/2020,3:00 PM,Lecture
CA320 Computability,22/09/2020,4:00 PM,Lecture
CA341 Comparative,23/09/2020,10:00 AM,Lecture
CA341 Comparative,23/09/2020,11:00 AM,Lecture
CA314 OO Analysis,23/09/2020,12:00 AM,Lecture
CA326 Year 3 Project,23/09/2020,2:00 PM,Lecture
CA320 Computability,23/09/2020,3:00 PM,Practical
CA320 Computability,24/09/2020,10:00 AM,Lecture
CA304 Networks 2,24/09/2020,11:00 AM,Lecture
CA318 AI Search,24/09/2020,12:00 AM,Lecture
CA357 UI,24/09/2020,1:00 PM,Lecture
CA304 Networks 2,25/09/2020,10:00 AM,Lecture
CA314 OO Analysis,25/09/2020,11:00 AM,Lecture
CA326 Year 3 Project,25/09/2020,12:00 AM,Lecture
CA314 OO Analysis,25/09/2020,4:00 PM,Tutorial
CA304 Networks 2,26/09/2020,9:00 AM,Practical
CA326 Year 3 Project,26/09/2020,2:00 PM,Practical
